INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;28.09.2020 0:00:00;2;610000;21178
1;28.09.2020 0:00:00;2;610000;21904
2;28.09.2020 0:00:00;2;610000;22826
3;28.09.2020 0:00:00;2;610000;23588
4;28.09.2020 0:00:00;2;610000;24073
5;28.09.2020 0:00:00;2;610000;24199
6;28.09.2020 0:00:00;2;610000;24105
7;28.09.2020 0:00:00;2;610000;24127
8;28.09.2020 0:00:00;2;610000;23782
9;28.09.2020 0:00:00;2;610000;23842
10;28.09.2020 0:00:00;2;610000;23781
11;28.09.2020 0:00:00;2;610000;23712
12;28.09.2020 0:00:00;2;610000;23415
13;28.09.2020 0:00:00;2;610000;23826
14;28.09.2020 0:00:00;2;610000;24022
15;28.09.2020 0:00:00;2;610000;24494
16;28.09.2020 0:00:00;2;610000;24201
17;28.09.2020 0:00:00;2;610000;23723
18;28.09.2020 0:00:00;2;610000;22872
19;28.09.2020 0:00:00;2;610000;21999
20;28.09.2020 0:00:00;2;610000;21656
21;28.09.2020 0:00:00;2;610000;21187
22;28.09.2020 0:00:00;2;610000;20975
23;28.09.2020 0:00:00;2;610000;21231
0;29.09.2020 0:00:00;2;610000;21524
1;29.09.2020 0:00:00;2;610000;22228
2;29.09.2020 0:00:00;2;610000;23216
3;29.09.2020 0:00:00;2;610000;23331
4;29.09.2020 0:00:00;2;610000;24136
5;29.09.2020 0:00:00;2;610000;24587
6;29.09.2020 0:00:00;2;610000;24515
7;29.09.2020 0:00:00;2;610000;24326
8;29.09.2020 0:00:00;2;610000;24211
9;29.09.2020 0:00:00;2;610000;24227
10;29.09.2020 0:00:00;2;610000;24170
11;29.09.2020 0:00:00;2;610000;24203
12;29.09.2020 0:00:00;2;610000;24049
13;29.09.2020 0:00:00;2;610000;24252
14;29.09.2020 0:00:00;2;610000;24427
15;29.09.2020 0:00:00;2;610000;24644
16;29.09.2020 0:00:00;2;610000;24372
17;29.09.2020 0:00:00;2;610000;23887
18;29.09.2020 0:00:00;2;610000;23081
19;29.09.2020 0:00:00;2;610000;22309
20;29.09.2020 0:00:00;2;610000;21730
21;29.09.2020 0:00:00;2;610000;21587
22;29.09.2020 0:00:00;2;610000;21482
23;29.09.2020 0:00:00;2;610000;21336
0;30.09.2020 0:00:00;2;610000;21740
1;30.09.2020 0:00:00;2;610000;22179
2;30.09.2020 0:00:00;2;610000;22997
3;30.09.2020 0:00:00;2;610000;23561
4;30.09.2020 0:00:00;2;610000;24334
5;30.09.2020 0:00:00;2;610000;24540
6;30.09.2020 0:00:00;2;610000;24258
7;30.09.2020 0:00:00;2;610000;24195
8;30.09.2020 0:00:00;2;610000;23951
9;30.09.2020 0:00:00;2;610000;24000
10;30.09.2020 0:00:00;2;610000;23990
11;30.09.2020 0:00:00;2;610000;23868
12;30.09.2020 0:00:00;2;610000;24126
13;30.09.2020 0:00:00;2;610000;24398
14;30.09.2020 0:00:00;2;610000;24731
15;30.09.2020 0:00:00;2;610000;24730
16;30.09.2020 0:00:00;2;610000;24556
17;30.09.2020 0:00:00;2;610000;23967
18;30.09.2020 0:00:00;2;610000;23001
19;30.09.2020 0:00:00;2;610000;22391
20;30.09.2020 0:00:00;2;610000;21853
21;30.09.2020 0:00:00;2;610000;21822
22;30.09.2020 0:00:00;2;610000;21524
23;30.09.2020 0:00:00;2;610000;21512
0;01.10.2020 0:00:00;2;610000;21948
1;01.10.2020 0:00:00;2;610000;22577
2;01.10.2020 0:00:00;2;610000;23265
3;01.10.2020 0:00:00;2;610000;23640
4;01.10.2020 0:00:00;2;610000;24322
5;01.10.2020 0:00:00;2;610000;24531
6;01.10.2020 0:00:00;2;610000;24461
7;01.10.2020 0:00:00;2;610000;24337
8;01.10.2020 0:00:00;2;610000;24350
9;01.10.2020 0:00:00;2;610000;24369
10;01.10.2020 0:00:00;2;610000;24210
11;01.10.2020 0:00:00;2;610000;24129
12;01.10.2020 0:00:00;2;610000;24112
13;01.10.2020 0:00:00;2;610000;24632
14;01.10.2020 0:00:00;2;610000;24884
15;01.10.2020 0:00:00;2;610000;24915
16;01.10.2020 0:00:00;2;610000;24505
17;01.10.2020 0:00:00;2;610000;23976
18;01.10.2020 0:00:00;2;610000;23213
19;01.10.2020 0:00:00;2;610000;22342
20;01.10.2020 0:00:00;2;610000;21953
21;01.10.2020 0:00:00;2;610000;21817
22;01.10.2020 0:00:00;2;610000;21750
23;01.10.2020 0:00:00;2;610000;21737
0;02.10.2020 0:00:00;2;610000;21771
1;02.10.2020 0:00:00;2;610000;22576
2;02.10.2020 0:00:00;2;610000;23495
3;02.10.2020 0:00:00;2;610000;23907
4;02.10.2020 0:00:00;2;610000;24303
5;02.10.2020 0:00:00;2;610000;24661
6;02.10.2020 0:00:00;2;610000;24600
7;02.10.2020 0:00:00;2;610000;24360
8;02.10.2020 0:00:00;2;610000;24594
9;02.10.2020 0:00:00;2;610000;24600
10;02.10.2020 0:00:00;2;610000;24335
11;02.10.2020 0:00:00;2;610000;24273
12;02.10.2020 0:00:00;2;610000;24336
13;02.10.2020 0:00:00;2;610000;24458
14;02.10.2020 0:00:00;2;610000;24664
15;02.10.2020 0:00:00;2;610000;24684
16;02.10.2020 0:00:00;2;610000;24463
17;02.10.2020 0:00:00;2;610000;24004
18;02.10.2020 0:00:00;2;610000;23319
19;02.10.2020 0:00:00;2;610000;22707
20;02.10.2020 0:00:00;2;610000;22242
21;02.10.2020 0:00:00;2;610000;22143
22;02.10.2020 0:00:00;2;610000;21846
23;02.10.2020 0:00:00;2;610000;21793
0;03.10.2020 0:00:00;2;610000;21821
1;03.10.2020 0:00:00;2;610000;22267
2;03.10.2020 0:00:00;2;610000;22666
3;03.10.2020 0:00:00;2;610000;23197
4;03.10.2020 0:00:00;2;610000;24062
5;03.10.2020 0:00:00;2;610000;24646
6;03.10.2020 0:00:00;2;610000;24425
7;03.10.2020 0:00:00;2;610000;24216
8;03.10.2020 0:00:00;2;610000;24219
9;03.10.2020 0:00:00;2;610000;24078
10;03.10.2020 0:00:00;2;610000;23826
11;03.10.2020 0:00:00;2;610000;23907
12;03.10.2020 0:00:00;2;610000;24028
13;03.10.2020 0:00:00;2;610000;24362
14;03.10.2020 0:00:00;2;610000;24526
15;03.10.2020 0:00:00;2;610000;24571
16;03.10.2020 0:00:00;2;610000;24254
17;03.10.2020 0:00:00;2;610000;23858
18;03.10.2020 0:00:00;2;610000;23310
19;03.10.2020 0:00:00;2;610000;22617
20;03.10.2020 0:00:00;2;610000;22081
21;03.10.2020 0:00:00;2;610000;21849
22;03.10.2020 0:00:00;2;610000;21562
23;03.10.2020 0:00:00;2;610000;21764
0;04.10.2020 0:00:00;2;610000;21927
1;04.10.2020 0:00:00;2;610000;22021
2;04.10.2020 0:00:00;2;610000;22468
3;04.10.2020 0:00:00;2;610000;22863
4;04.10.2020 0:00:00;2;610000;23788
5;04.10.2020 0:00:00;2;610000;24130
6;04.10.2020 0:00:00;2;610000;24252
7;04.10.2020 0:00:00;2;610000;24001
8;04.10.2020 0:00:00;2;610000;24028
9;04.10.2020 0:00:00;2;610000;24050
10;04.10.2020 0:00:00;2;610000;23897
11;04.10.2020 0:00:00;2;610000;23887
12;04.10.2020 0:00:00;2;610000;24004
13;04.10.2020 0:00:00;2;610000;24480
14;04.10.2020 0:00:00;2;610000;24826
15;04.10.2020 0:00:00;2;610000;24710
16;04.10.2020 0:00:00;2;610000;24549
17;04.10.2020 0:00:00;2;610000;23983
18;04.10.2020 0:00:00;2;610000;23105
19;04.10.2020 0:00:00;2;610000;22588
20;04.10.2020 0:00:00;2;610000;22232
21;04.10.2020 0:00:00;2;610000;21897
22;04.10.2020 0:00:00;2;610000;21766
23;04.10.2020 0:00:00;2;610000;21791
0;05.10.2020 0:00:00;2;610000;21911
1;05.10.2020 0:00:00;2;610000;22511
2;05.10.2020 0:00:00;2;610000;23441
3;05.10.2020 0:00:00;2;610000;23903
4;05.10.2020 0:00:00;2;610000;24591
5;05.10.2020 0:00:00;2;610000;24885
6;05.10.2020 0:00:00;2;610000;24969
7;05.10.2020 0:00:00;2;610000;24580
8;05.10.2020 0:00:00;2;610000;24422
9;05.10.2020 0:00:00;2;610000;24457
10;05.10.2020 0:00:00;2;610000;24497
11;05.10.2020 0:00:00;2;610000;24326
12;05.10.2020 0:00:00;2;610000;24602
13;05.10.2020 0:00:00;2;610000;24882
14;05.10.2020 0:00:00;2;610000;24910
15;05.10.2020 0:00:00;2;610000;24899
16;05.10.2020 0:00:00;2;610000;24419
17;05.10.2020 0:00:00;2;610000;24076
18;05.10.2020 0:00:00;2;610000;23357
19;05.10.2020 0:00:00;2;610000;22599
20;05.10.2020 0:00:00;2;610000;22205
21;05.10.2020 0:00:00;2;610000;21944
22;05.10.2020 0:00:00;2;610000;21856
23;05.10.2020 0:00:00;2;610000;21750
0;06.10.2020 0:00:00;2;610000;21960
1;06.10.2020 0:00:00;2;610000;22620
2;06.10.2020 0:00:00;2;610000;23594
3;06.10.2020 0:00:00;2;610000;24050
4;06.10.2020 0:00:00;2;610000;24643
5;06.10.2020 0:00:00;2;610000;24878
6;06.10.2020 0:00:00;2;610000;24660
7;06.10.2020 0:00:00;2;610000;24614
8;06.10.2020 0:00:00;2;610000;24417
9;06.10.2020 0:00:00;2;610000;24558
10;06.10.2020 0:00:00;2;610000;24479
11;06.10.2020 0:00:00;2;610000;24445
12;06.10.2020 0:00:00;2;610000;24536
13;06.10.2020 0:00:00;2;610000;25034
14;06.10.2020 0:00:00;2;610000;25209
15;06.10.2020 0:00:00;2;610000;25079
16;06.10.2020 0:00:00;2;610000;24816
17;06.10.2020 0:00:00;2;610000;24304
18;06.10.2020 0:00:00;2;610000;23409
19;06.10.2020 0:00:00;2;610000;22876
20;06.10.2020 0:00:00;2;610000;22288
21;06.10.2020 0:00:00;2;610000;22170
22;06.10.2020 0:00:00;2;610000;21959
23;06.10.2020 0:00:00;2;610000;22158
0;07.10.2020 0:00:00;2;610000;21955
1;07.10.2020 0:00:00;2;610000;22913
2;07.10.2020 0:00:00;2;610000;23659
3;07.10.2020 0:00:00;2;610000;24146
4;07.10.2020 0:00:00;2;610000;24872
5;07.10.2020 0:00:00;2;610000;25124
6;07.10.2020 0:00:00;2;610000;24974
7;07.10.2020 0:00:00;2;610000;24818
8;07.10.2020 0:00:00;2;610000;25047
9;07.10.2020 0:00:00;2;610000;24913
10;07.10.2020 0:00:00;2;610000;24876
11;07.10.2020 0:00:00;2;610000;24815
12;07.10.2020 0:00:00;2;610000;24811
13;07.10.2020 0:00:00;2;610000;25218
14;07.10.2020 0:00:00;2;610000;25426
15;07.10.2020 0:00:00;2;610000;25140
16;07.10.2020 0:00:00;2;610000;24825
17;07.10.2020 0:00:00;2;610000;24125
18;07.10.2020 0:00:00;2;610000;23426
19;07.10.2020 0:00:00;2;610000;22784
20;07.10.2020 0:00:00;2;610000;22271
21;07.10.2020 0:00:00;2;610000;22125
22;07.10.2020 0:00:00;2;610000;22111
23;07.10.2020 0:00:00;2;610000;22142
0;08.10.2020 0:00:00;2;610000;22185
1;08.10.2020 0:00:00;2;610000;22783
2;08.10.2020 0:00:00;2;610000;23844
3;08.10.2020 0:00:00;2;610000;24413
4;08.10.2020 0:00:00;2;610000;24919
5;08.10.2020 0:00:00;2;610000;25047
6;08.10.2020 0:00:00;2;610000;25006
7;08.10.2020 0:00:00;2;610000;25055
8;08.10.2020 0:00:00;2;610000;25013
9;08.10.2020 0:00:00;2;610000;24902
10;08.10.2020 0:00:00;2;610000;25020
11;08.10.2020 0:00:00;2;610000;25032
12;08.10.2020 0:00:00;2;610000;24824
13;08.10.2020 0:00:00;2;610000;25234
14;08.10.2020 0:00:00;2;610000;25495
15;08.10.2020 0:00:00;2;610000;25140
16;08.10.2020 0:00:00;2;610000;24835
17;08.10.2020 0:00:00;2;610000;24377
18;08.10.2020 0:00:00;2;610000;23677
19;08.10.2020 0:00:00;2;610000;22824
20;08.10.2020 0:00:00;2;610000;22598
21;08.10.2020 0:00:00;2;610000;22133
22;08.10.2020 0:00:00;2;610000;22061
23;08.10.2020 0:00:00;2;610000;22306
0;09.10.2020 0:00:00;2;610000;22336
1;09.10.2020 0:00:00;2;610000;23124
2;09.10.2020 0:00:00;2;610000;24016
3;09.10.2020 0:00:00;2;610000;24406
4;09.10.2020 0:00:00;2;610000;25085
5;09.10.2020 0:00:00;2;610000;25264
6;09.10.2020 0:00:00;2;610000;25284
7;09.10.2020 0:00:00;2;610000;25128
8;09.10.2020 0:00:00;2;610000;25224
9;09.10.2020 0:00:00;2;610000;25029
10;09.10.2020 0:00:00;2;610000;25158
11;09.10.2020 0:00:00;2;610000;24853
12;09.10.2020 0:00:00;2;610000;25102
13;09.10.2020 0:00:00;2;610000;25396
14;09.10.2020 0:00:00;2;610000;25468
15;09.10.2020 0:00:00;2;610000;25159
16;09.10.2020 0:00:00;2;610000;25012
17;09.10.2020 0:00:00;2;610000;24450
18;09.10.2020 0:00:00;2;610000;23831
19;09.10.2020 0:00:00;2;610000;23028
20;09.10.2020 0:00:00;2;610000;22524
21;09.10.2020 0:00:00;2;610000;22370
22;09.10.2020 0:00:00;2;610000;22226
23;09.10.2020 0:00:00;2;610000;22309
0;10.10.2020 0:00:00;2;610000;22361
1;10.10.2020 0:00:00;2;610000;22552
2;10.10.2020 0:00:00;2;610000;23135
3;10.10.2020 0:00:00;2;610000;23705
4;10.10.2020 0:00:00;2;610000;24494
5;10.10.2020 0:00:00;2;610000;24913
6;10.10.2020 0:00:00;2;610000;25083
7;10.10.2020 0:00:00;2;610000;25152
8;10.10.2020 0:00:00;2;610000;24802
9;10.10.2020 0:00:00;2;610000;25048
10;10.10.2020 0:00:00;2;610000;24903
11;10.10.2020 0:00:00;2;610000;24876
12;10.10.2020 0:00:00;2;610000;24849
13;10.10.2020 0:00:00;2;610000;25358
14;10.10.2020 0:00:00;2;610000;25448
15;10.10.2020 0:00:00;2;610000;25134
16;10.10.2020 0:00:00;2;610000;24746
17;10.10.2020 0:00:00;2;610000;24484
18;10.10.2020 0:00:00;2;610000;23729
19;10.10.2020 0:00:00;2;610000;23125
20;10.10.2020 0:00:00;2;610000;22953
21;10.10.2020 0:00:00;2;610000;22609
22;10.10.2020 0:00:00;2;610000;22351
23;10.10.2020 0:00:00;2;610000;22235
0;11.10.2020 0:00:00;2;610000;22176
1;11.10.2020 0:00:00;2;610000;22606
2;11.10.2020 0:00:00;2;610000;22965
3;11.10.2020 0:00:00;2;610000;23257
4;11.10.2020 0:00:00;2;610000;24075
5;11.10.2020 0:00:00;2;610000;24575
6;11.10.2020 0:00:00;2;610000;24947
7;11.10.2020 0:00:00;2;610000;24987
8;11.10.2020 0:00:00;2;610000;24811
9;11.10.2020 0:00:00;2;610000;24921
10;11.10.2020 0:00:00;2;610000;24837
11;11.10.2020 0:00:00;2;610000;24699
12;11.10.2020 0:00:00;2;610000;24899
13;11.10.2020 0:00:00;2;610000;25523
14;11.10.2020 0:00:00;2;610000;25736
15;11.10.2020 0:00:00;2;610000;25354
