YEAR,REGION,INDICATOR
1990,Адыгея,52.42
1990,Алтайский край,58.07
1990,Амурская область,68.37
1990,Архангельская область,73.63
1990,Астраханская область,68.01
1990,Башкортостан,64.22
1990,Белгородская область,63.26
1990,Брянская область,67.49
1990,Бурятия,62.16
1990,Владимирская область,79.31
1990,Волгоградская область,75.76
1990,Вологодская область,65.48
1990,Воронежская область,60.94
1990,Дагестан,43.49
1990,Еврейская автономная область,65.01
1990,Забайкальский край,63.86
1990,Ивановская область,82.3
1990,Ингушетия,24.84
1990,Иркутская область,80.36
1990,Кабардино-Балкария,60.86
1990,Калининградская область,78.97
1990,Калмыкия,45.81
1990,Калужская область,69.77
1990,Камчатский край,81.5
1990,Карачаево-Черкесия,48.99
1990,Карелия,81.55
1990,Кемеровская область,87.12
1990,Кировская область,69.35
1990,Костромская область,68.85
1990,Краснодарский край,54.25
1990,Красноярский край,73.94
1990,Крым,
1990,Курганская область,54.77
1990,Курская область,58.4
1990,Ленинградская область,66.05
1990,Липецкая область,62.64
1990,Магаданская область,84.29
1990,Марий Эл,61.57
1990,Мордовия,56.78
1990,Москва,100.0
1990,Московская область,79.67
1990,Мурманская область,91.42
1990,Ненецкий автономный округ,63.78
1990,Нижегородская область,77.19
1990,Новгородская область,69.68
1990,Новосибирская область,74.39
1990,Омская область,67.9
1990,Оренбургская область,64.54
1990,Орловская область,62.12
1990,Пензенская область,63.02
1990,Пермский край,76.98
1990,Приморский край,77.23
1990,Псковская область,63.14
1990,Республика Алтай,27.17
1990,Республика Коми,75.7
1990,Республика Тыва,46.97
1990,Ростовская область,71.24
1990,Рязанская область,65.5
1990,Самарская область,80.75
1990,Санкт-Петербург,100.0
1990,Саратовская область,74.1
1990,Сахалинская область,84.75
1990,Свердловская область,87.58
1990,Севастополь,
1990,Северная Осетия,69.2
1990,Смоленская область,68.11
1990,Ставропольский край,54.04
1990,Тамбовская область,56.28
1990,Татарстан,73.37
1990,Тверская область,71.29
1990,Томская область,70.83
1990,Тульская область,81.29
1990,Тюменская область,76.51
1990,Удмуртия,70.14
1990,Ульяновская область,71.78
1990,Хабаровский край,80.22
1990,Хакасия,72.67
1990,Ханты-Мансийский автономный округ,91.66
1990,Челябинская область,82.82
1990,Чечня,43.86
1990,Чувашия,58.32
1990,Чукотский автономный округ,72.74
1990,Якутия,66.88
1990,Ямало-Ненецкий автономный округ,78.97
1990,Ярославская область,81.6
1991,Адыгея,52.51
1991,Алтайский край,58.08
1991,Амурская область,68.53
1991,Архангельская область,73.81
1991,Астраханская область,68.2
1991,Башкортостан,64.41
1991,Белгородская область,63.7
1991,Брянская область,68.01
1991,Бурятия,60.44
1991,Владимирская область,79.47
1991,Волгоградская область,75.8
1991,Вологодская область,65.9
1991,Воронежская область,61.22
1991,Дагестан,43.97
1991,Еврейская автономная область,64.95
1991,Забайкальский край,64.19
1991,Ивановская область,82.22
1991,Ингушетия,27.8
1991,Иркутская область,80.44
1991,Кабардино-Балкария,60.97
1991,Калининградская область,78.94
1991,Калмыкия,45.98
1991,Калужская область,70.07
1991,Камчатский край,81.47
1991,Карачаево-Черкесия,49.12
1991,Карелия,81.83
1991,Кемеровская область,87.06
1991,Кировская область,69.71
1991,Костромская область,69.04
1991,Краснодарский край,54.27
1991,Красноярский край,73.91
1991,Крым,
1991,Курганская область,55.08
1991,Курская область,58.91
1991,Ленинградская область,66.09
1991,Липецкая область,63.05
1991,Магаданская область,84.62
1991,Марий Эл,62.06
1991,Мордовия,57.24
1991,Москва,100.0
1991,Московская область,79.68
1991,Мурманская область,91.58
1991,Ненецкий автономный округ,63.83
1991,Нижегородская область,77.12
1991,Новгородская область,69.89
1991,Новосибирская область,74.58
1991,Омская область,68.1
1991,Оренбургская область,64.67
1991,Орловская область,62.41
1991,Пензенская область,63.38
1991,Пермский край,77.16
1991,Приморский край,77.23
1991,Псковская область,63.48
1991,Республика Алтай,27.07
1991,Республика Коми,76.02
1991,Республика Тыва,47.38
1991,Ростовская область,71.14
1991,Рязанская область,65.85
1991,Самарская область,80.87
1991,Санкт-Петербург,100.0
1991,Саратовская область,74.64
1991,Сахалинская область,84.94
1991,Свердловская область,87.61
1991,Севастополь,
1991,Северная Осетия,69.14
1991,Смоленская область,68.46
1991,Ставропольский край,54.01
1991,Тамбовская область,56.52
1991,Татарстан,73.64
1991,Тверская область,71.34
1991,Томская область,70.72
1991,Тульская область,81.42
1991,Тюменская область,77.48
1991,Удмуртия,70.29
1991,Ульяновская область,72.03
1991,Хабаровский край,80.28
1991,Хакасия,72.57
1991,Ханты-Мансийский автономный округ,91.9
1991,Челябинская область,82.77
1991,Чечня,47.76
1991,Чувашия,58.94
1991,Чукотский автономный округ,72.43
1991,Якутия,66.78
1991,Ямало-Ненецкий автономный округ,82.69
1991,Ярославская область,81.72
1992,Адыгея,52.49
1992,Алтайский край,55.21
1992,Амурская область,66.94
1992,Архангельская область,73.28
1992,Астраханская область,67.6
1992,Башкортостан,64.38
1992,Белгородская область,64.01
1992,Брянская область,68.3
1992,Бурятия,59.77
1992,Владимирская область,79.6
1992,Волгоградская область,75.78
1992,Вологодская область,65.97
1992,Воронежская область,61.32
1992,Дагестан,44.12
1992,Еврейская автономная область,64.71
1992,Забайкальский край,64.31
1992,Ивановская область,82.27
1992,Ингушетия,27.06
1992,Иркутская область,80.38
1992,Кабардино-Балкария,60.81
1992,Калининградская область,78.87
1992,Калмыкия,46.41
1992,Калужская область,73.41
1992,Камчатский край,81.54
1992,Карачаево-Черкесия,49.23
1992,Карелия,82.02
1992,Кемеровская область,86.97
1992,Кировская область,69.79
1992,Костромская область,69.11
1992,Краснодарский край,54.18
1992,Красноярский край,73.65
1992,Крым,
1992,Курганская область,55.08
1992,Курская область,59.21
1992,Ленинградская область,66.21
1992,Липецкая область,63.41
1992,Магаданская область,84.06
1992,Марий Эл,62.36
1992,Мордовия,57.65
1992,Москва,100.0
1992,Московская область,79.7
1992,Мурманская область,91.79
1992,Ненецкий автономный округ,63.4
1992,Нижегородская область,77.35
1992,Новгородская область,70.12
1992,Новосибирская область,74.47
1992,Омская область,67.88
1992,Оренбургская область,64.49
1992,Орловская область,62.68
1992,Пензенская область,63.59
1992,Пермский край,77.14
1992,Приморский край,77.14
1992,Псковская область,63.9
